date,open,close,high,low,volume,middle_band,std,upper_band,lower_band,signal,position,prev_close,limit_up,limit_down,portfolio,cash,trade_executed,returns,max_drawdown
2024-04-12,1535.83,1520.04,1547.92,1520.04,2674433.0,1575.9925,24.89683955318371,1625.7861791063674,1526.1988208936327,0,0.0,1533.04,1686.344,1379.736,78098.49986725773,78098.49986725773,0,0.0,0.24004285516005874
2024-04-15,1520.95,1556.27,1558.72,1520.93,3581771.0,1573.962,24.759294395186195,1623.4805887903724,1524.4434112096276,1,50.0,1520.04,1672.044,1368.036,78067.37213285273,253.87213285273174,1,-0.00039857019607181243,0.2403457514282837
2024-04-16,1549.31,1553.5,1562.4,1543.27,2626623.0,1571.753,24.501328449486234,1620.7556568989723,1522.7503431010275,0,50.0,1556.27,1711.8970000000002,1400.643,77928.87213285273,253.87213285273174,0,-0.0017741086476473766,0.24169346059989688
2024-04-17,1551.64,1550.71,1558.34,1542.34,2481911.0,1569.834,24.57488221313794,1618.983764426276,1520.6842355737242,0,50.0,1553.5,1708.8500000000001,1398.15,77789.37213285273,253.87213285273174,0,-0.0017900939174659847,0.24305090052365164
2024-04-18,1543.28,1554.23,1565.58,1542.51,2656841.0,1568.102,24.382576738753084,1616.8671534775062,1519.336846522494,0,50.0,1550.71,1705.7810000000002,1395.6390000000001,77965.37213285273,253.87213285273174,0,0.00226251986838788,0.24133828814672806
2024-04-19,1544.93,1531.77,1552.11,1526.79,2349992.0,1565.1735,25.07846030592629,1615.3304206118528,1515.0165793881474,0,50.0,1554.23,1709.6530000000002,1398.807,76842.37213285273,253.87213285273174,0,-0.014403830434957854,0.25226592280175747
2024-04-22,1538.62,1558.21,1561.76,1530.25,2995139.0,1563.595,24.433401964914314,1612.4618039298286,1514.7281960701714,0,50.0,1531.77,1684.9470000000001,1378.593,78164.37213285273,253.87213285273174,0,0.01720404984003343,0.23940186847054742
2024-04-23,1558.15,1574.23,1576.76,1558.15,2497995.0,1563.173,24.15794237927004,1611.48888475854,1514.85711524146,0,50.0,1558.21,1714.0310000000002,1402.3890000000001,78965.37213285273,253.87213285273174,0,0.010247635567756763,0.23160753600511685
2024-04-24,1578.6,1575.46,1581.33,1565.9,1708643.0,1563.3865,24.251211423894834,1611.8889228477897,1514.8840771522105,0,50.0,1574.23,1731.6530000000002,1416.807,79026.87213285273,253.87213285273174,0,0.0007788223918774317,0.23100909474840775
2024-04-25,1572.41,1574.94,1577.32,1564.9,1447648.0,1562.631,23.603556132612614,1609.8381122652254,1515.4238877347748,0,50.0,1575.46,1733.006,1417.914,79000.87213285273,253.87213285273174,0,-0.0003290020128380311,0.23126209430408964
2024-04-26,1575.83,1590.18,1594.43,1575.81,3099592.0,1563.0230000000001,24.00971165350268,1611.0424233070055,1515.0035766929948,0,50.0,1574.94,1732.4340000000002,1417.4460000000001,79762.87213285273,253.87213285273174,0,0.009645463137654575,0.2238472611721819
2024-04-29,1578.57,1585.13,1607.46,1575.66,4133223.0,1563.1325,24.1101109768479,1611.3527219536957,1514.9122780463042,0,50.0,1590.18,1749.1980000000003,1431.162,79510.37213285273,253.87213285273174,0,-0.0031656332482541405,0.22630427608793874
